stigmaID,plantID,slide#,cover,day,round,month,year,stigma#,dpurp_pollen,amocan_pollen,aster_pollen,dcand_pollen,unknown_hetero_pollen,date_processed,processed_by,notes
28ub_30_6_17july,28UB,30,l,17,2,July,2018,6,1,0,0,0,0,9/19/2018,AR,
22ub_30_1_17july,22UB,30,r,17,2,July,2018,1,NA,NA,NA,NA,NA,9/19/2018,AR,
22ub_30_2_17july,22UB,30,r,17,2,July,2018,2,NA,NA,NA,NA,NA,9/19/2018,AR,
22ub_30_3_17july,22UB,30,r,17,2,July,2018,3,0,0,0,0,0,9/19/2018,AR,
22ub_30_4_17july,22UB,30,r,17,2,July,2018,4,5,15,0,0,0,9/19/2018,AR,
11ub_31_1_17july,11UB,31,l,17,2,July,2018,1,0,0,0,0,0,9/19/2018,AR,tip yellowish but no pollen
21ub_31_1_17july,21UB,31,r,17,2,July,2018,1,0,0,0,0,0,9/19/2018,AR,
21ub_31_2_17july,21UB,31,r,17,2,July,2018,2,0,0,0,0,0,9/19/2018,AR,
21ub_31_3_17july,21UB,31,r,17,2,July,2018,3,0,0,0,0,0,9/19/2018,AR,
4ub_32_1_17july,4UB,32,l,17,2,July,2018,1,11,3,0,0,2,9/19/2018,AR,
4ub_32_2_17july,4UB,32,l,17,2,July,2018,2,10,2,1,0,3,9/19/2018,AR,
7ub_32_1_17july,7UB,32,r,17,2,July,2018,1,2,0,0,0,0,9/19/2018,AR,
7ub_32_2_17july,7UB,32,r,17,2,July,2018,2,10,0,0,2,0,9/19/2018,AR,
7ub_32_3_17july,7UB,32,r,17,2,July,2018,3,15,0,0,0,1,9/19/2018,AR,repressed; nearby pollen grains originally adhered to stigma; whole ovule accidentally pulled
24b_33_1_17july,24B,33,l,17,2,July,2018,1,0,18,0,0,0,9/19/2018,AR,good amorpha slide
24b_33_2_17july,24B,33,l,17,2,July,2018,2,1,13,0,0,0,9/19/2018,AR,
24b_33_3_17july,24B,33,l,17,2,July,2018,3,2,21,0,0,3,9/19/2018,AR,
24b_33_4_17july,24B,33,l,17,2,July,2018,4,4,14,0,0,4,9/19/2018,AR,repressed; nearby pollen grains originally on stigma
24b_33_5_17july,24B,33,l,17,2,July,2018,5,0,39,0,0,0,9/19/2018,AR,good amorpha slide
25ub_33_1_17july,25UB,33,r,17,2,July,2018,1,0,0,0,0,0,9/19/2018,AR,
25ub_33_2_17july,25UB,33,r,17,2,July,2018,2,0,0,0,0,0,9/19/2018,AR,
19b_34_1_17july,19B,34,l,17,2,July,2018,1,1,0,0,0,0,9/20/2018,AR,
19b_34_2_17july,19B,34,l,17,2,July,2018,2,11,3,0,0,0,9/20/2018,AR,
24ub_34_1_17july,24UB,34,r,17,2,July,2018,1,19,2,1,0,1,9/20/2018,AR,
24ub_34_2_17july,24UB,34,r,17,2,July,2018,2,11,2,0,0,0,9/20/2018,AR,
24ub_34_3_17july,24UB,34,r,17,2,July,2018,3,3,0,0,0,0,9/20/2018,AR,not yellow tipped
24ub_34_4_17july,24UB,34,r,17,2,July,2018,4,0,0,0,0,0,9/20/2018,AR,
7b_35_1_17july,7B,35,l,17,2,July,2018,1,6,3,0,2,0,9/20/2018,AR,repressed; nearby pollen grains orginally on stigma
7b_35_2_17july,7B,35,l,17,2,July,2018,2,14,4,0,2,0,9/20/2018,AR,repressed; nearby pollen grains orginally on stigma
20b_35_1_17july,20B,35,r,17,2,July,2018,1,15,13,0,0,0,9/20/2018,AR,repressed; nearby pollen grains orginally on stigma
20b_35_2_17july,20B,35,r,17,2,July,2018,2,14,7,0,0,0,9/20/2018,AR,
20b_35_3_17july,20B,35,r,17,2,July,2018,3,16,8,0,1,1,9/20/2018,AR,
20b_35_4_17july,20B,35,r,17,2,July,2018,4,9,5,0,0,0,9/20/2018,AR,
20b_35_5_17july,20B,35,r,17,2,July,2018,5,13,8,0,0,0,9/20/2018,AR,
20b_35_6_17july,20B,35,r,17,2,July,2018,6,9,4,0,0,0,9/20/2018,AR,
20b_35_7_17july,20B,35,r,17,2,July,2018,7,12,20,0,0,0,9/20/2018,AR,
5ub_36_1_17july,5UB,36,l,17,2,July,2018,1,10,3,0,0,3,9/20/2018,AR,repressed; nearby pollen grains orginally on stigma
5ub_36_2_17july,5UB,36,l,17,2,July,2018,2,5,6,0,0,5,9/20/2018,AR,repressed; nearby pollen grains orginally on stigma
5ub_36_3_17july,5UB,36,l,17,2,July,2018,3,14,2,0,0,3,9/20/2018,AR,repressed; nearby pollen grains orginally on stigma; large round heterospecifics 
16b_36_1_17july,16B,36,r,17,2,July,2018,1,7,8,0,0,1,9/20/2018,AR,
16b_36_2_17july,16B,36,r,17,2,July,2018,2,NA,NA,NA,NA,NA,9/20/2018,AR,
16b_36_3_17july,16B,36,r,17,2,July,2018,3,0,0,0,0,0,9/20/2018,AR,
16b_36_4_17july,16B,36,r,17,2,July,2018,4,NA,NA,NA,NA,NA,9/20/2018,AR,
16b_36_5_17july,16B,36,r,17,2,July,2018,5,0,0,0,0,0,9/20/2018,AR,yellow tip; pollen may have been removed
29ub_37_1_17july,29UB,37,l,17,2,July,2018,1,10,1,2,0,0,9/20/2018,AR,
29ub_37_2_17july,29UB,37,l,17,2,July,2018,2,7,4,0,1,0,9/20/2018,AR,
29ub_37_3_17july,29UB,37,l,17,2,July,2018,3,2,2,5,0,0,9/20/2018,AR,
29ub_37_4_17july,29UB,37,l,17,2,July,2018,4,0,0,0,0,0,9/20/2018,AR,
2ub_37_1_17july,2UB,37,r,17,2,July,2018,1,5,0,0,0,1,9/20/2018,AR,pressed and now outside coverslip;likely unrecoverable
2ub_37_2_17july,2UB,37,r,17,2,July,2018,2,0,0,0,0,0,9/20/2018,AR,
2ub_37_3_17july,2UB,37,r,17,2,July,2018,3,15,0,0,2,0,9/20/2018,AR,torn from repressing; nearby pollen originally on stigma
2ub_37_4_17july,2UB,37,r,17,2,July,2018,4,16,0,0,0,0,9/20/2018,AR,pollen disturbed from repressing; nearby pollen originally on stigma
2ub_37_5_17july,2UB,37,r,17,2,July,2018,5,23,0,0,5,0,9/20/2018,AR,tip mostly torn
2ub_37_6_17july,2UB,37,r,17,2,July,2018,6,NA,NA,NA,NA,NA,9/20/2018,AR,
2ub_37_7_17july,2UB,37,r,17,2,July,2018,7,21,0,0,0,4,9/20/2018,AR,
2ub_37_8_17july,2UB,37,r,17,2,July,2018,8,15,2,0,0,1,9/20/2018,AR,
2ub_37_9_17july,2UB,37,r,17,2,July,2018,9,1,1,0,0,0,9/20/2018,AR,
